game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap
1,1,F,1,9,649,put,0,0,Y,Z,,random,,,,,,
1,2,G,1,8,577,put,1,1,Y,Z,,monte_carlo,24,0.65,1.3,0.65,0.6,0.050000000000000044
1,3,F,1,7,463,put,1,0,Z,X,,random,,,,,,
1,4,G,1,6,397,put,1,2,Z,X,,monte_carlo,24,0.6,0.4,0.6,0.6,0.0
1,5,F,1,5,301,put,2,0,X,Z,,random,,,,,,
1,6,G,1,4,241,put,0,1,X,Y,,monte_carlo,24,0.8,1.4,0.8,0.7,0.10000000000000009
1,7,F,1,3,163,put,0,2,Y,X,,random,,,,,,
1,8,G,1,2,109,put,2,2,X,Z,,monte_carlo,24,1.0,6.2,1.0,1.0,0.0
1,9,F,1,1,49,put,2,1,Z,X,,random,,,,,,
1,10,F,2,9,547,put,2,1,Z,Y,,random,,,,,,
1,11,G,2,8,560,put,0,2,Z,X,,monte_carlo,24,0.95,2.9,0.95,0.9,0.04999999999999993
1,12,F,2,7,361,put,2,0,X,Y,,random,,,,,,
1,13,G,2,6,350,put,2,2,Z,Y,,monte_carlo,24,1.0,4.8,1.0,1.0,0.0
1,14,F,2,5,201,put,1,1,X,Z,,random,,,,,,
1,15,G,2,4,204,put,0,0,X,Z,X,monte_carlo,24,1.0,6.3,1.0,1.0,0.0
1,16,F,2,3,97,put,1,0,Y,Z,,random,,,,,,
1,17,G,2,2,80,put,0,1,Z,Y,,monte_carlo,24,1.0,8.8,1.0,1.0,0.0
1,18,F,2,1,25,put,1,2,Y,Z,,random,,,,,,
1,19,G,3,9,312,put,0,2,X,Z,X,monte_carlo,24,1.0,12.2,1.0,1.0,0.0
1,20,F,3,8,136,put,0,0,Z,Y,Y,random,,,,,,
1,21,G,3,7,174,put,2,1,X,Z,,monte_carlo,24,1.0,12.3,1.0,1.0,0.0
1,22,F,3,6,50,put,1,2,Z,Y,,random,,,,,,
1,23,G,3,5,84,put,2,0,X,Z,X,monte_carlo,24,1.0,13.5,1.0,1.0,0.0
1,24,G,3,4,32,put,1,0,X,Z,,monte_carlo,24,1.0,14.0,1.0,1.0,0.0
2,1,F,1,9,649,put,0,1,X,Z,,random,,,,,,
2,2,G,1,8,577,put,0,2,Z,Y,,monte_carlo,24,0.8,2.4,0.8,0.8,0.0
2,3,F,1,7,463,put,2,0,Z,Y,,random,,,,,,
2,4,G,1,6,397,put,1,0,Z,X,,monte_carlo,24,0.8,1.9,0.8,0.75,0.050000000000000044
2,5,F,1,5,301,put,0,0,Z,X,,random,,,,,,
2,6,G,1,4,241,put,1,2,Y,X,,monte_carlo,24,0.75,2.1,0.75,0.7,0.050000000000000044
2,7,F,1,3,163,put,2,1,Z,Y,,random,,,,,,
2,8,G,1,2,109,put,1,1,X,Z,,monte_carlo,24,0.9,2.4,0.9,0.75,0.15000000000000002
2,9,F,1,1,49,put,2,2,X,Y,,random,,,,,,
2,10,F,2,9,547,put,2,0,Y,X,,random,,,,,,
2,11,G,2,8,544,put,2,2,Z,X,X,monte_carlo,24,1.0,4.9,1.0,0.95,0.050000000000000044
2,12,F,2,7,349,put,0,0,X,Z,X,random,,,,,,
2,13,G,2,6,336,put,0,2,X,Y,,monte_carlo,24,1.0,7.4,1.0,1.0,0.0
2,14,F,2,5,191,put,1,0,X,Z,,random,,,,,,
2,15,G,2,4,180,put,1,2,Z,X,,monte_carlo,24,1.0,7.6,1.0,1.0,0.0
2,16,F,2,3,89,put,0,1,Y,X,,random,,,,,,
2,17,G,2,2,70,put,2,1,Z,Y,,monte_carlo,24,1.0,9.0,1.0,1.0,0.0
2,18,F,2,1,19,put,1,1,X,Y,,random,,,,,,
2,19,G,3,9,312,put,2,0,Z,X,,monte_carlo,24,1.0,8.9,1.0,1.0,0.0
2,20,F,3,8,136,put,2,1,Y,X,,random,,,,,,
2,21,G,3,7,180,put,0,0,X,Z,,monte_carlo,24,1.0,9.0,1.0,1.0,0.0
2,22,F,3,6,50,put,2,2,Z,X,X,random,,,,,,
2,23,G,3,5,80,put,0,1,Y,X,,monte_carlo,24,1.0,9.5,1.0,1.0,0.0
2,24,G,3,4,32,put,1,0,Y,Z,Y,monte_carlo,24,1.0,10.0,1.0,1.0,0.0
3,1,F,1,9,649,put,2,2,Z,Y,,random,,,,,,
3,2,G,1,8,577,put,1,2,Y,X,,monte_carlo,24,0.65,0.8,0.65,0.65,0.0
3,3,F,1,7,463,put,0,2,X,Y,,random,,,,,,
3,4,G,1,6,397,put,0,1,X,Z,,monte_carlo,24,0.7,1.2,0.7,0.65,0.04999999999999993
3,5,F,1,5,301,put,0,0,Z,Y,,random,,,,,,
3,6,G,1,4,241,end_phase,,,,,,monte_carlo,24,0.9,4.5,0.9,0.75,0.15000000000000002
3,7,F,2,9,703,put,0,2,X,Z,X,random,,,,,,
3,8,G,2,8,680,put,2,0,X,Y,,monte_carlo,24,1.0,4.3,1.0,1.0,0.0
3,9,F,2,7,465,put,2,2,X,Z,X,random,,,,,,
3,10,G,2,6,432,put,0,0,X,Z,X,monte_carlo,24,1.0,7.8,1.0,1.0,0.0
3,11,F,2,5,267,put,1,1,Y,Z,,random,,,,,,
3,12,G,2,4,256,put,1,0,Z,Y,,monte_carlo,24,1.0,7.8,1.0,1.0,0.0
3,13,F,2,3,145,put,0,1,X,Z,,random,,,,,,
3,14,G,2,2,112,put,1,2,Y,Z,,monte_carlo,24,1.0,10.2,1.0,1.0,0.0
3,15,F,2,1,41,put,2,1,X,Y,,random,,,,,,
3,16,G,3,9,468,put,2,1,Z,X,X,monte_carlo,24,1.0,10.0,1.0,1.0,0.0
3,17,F,3,8,280,put,2,0,Y,X,,random,,,,,,
3,18,G,3,7,300,put,0,0,Z,Y,Y,monte_carlo,24,1.0,11.0,1.0,1.0,0.0
3,19,F,3,6,150,put,2,2,X,Y,,random,,,,,,
3,20,G,3,5,160,put,0,1,Y,Z,,monte_carlo,24,1.0,12.7,1.0,1.0,0.0
3,21,F,3,4,64,put,0,2,Z,Y,Y,random,,,,,,
3,22,G,3,3,66,put,1,0,X,Y,,monte_carlo,24,1.0,13.9,1.0,1.0,0.0
3,23,F,3,2,14,put,1,1,Z,Y,,random,,,,,,
3,24,G,3,1,16,put,1,2,X,Z,,monte_carlo,16,1.0,15.0,1.0,1.0,0.0
4,1,F,1,9,649,put,0,1,Z,X,,random,,,,,,
4,2,G,1,8,577,put,1,2,X,Y,,monte_carlo,24,0.65,0.4,0.65,0.6,0.050000000000000044
4,3,F,1,7,463,put,2,0,Y,Z,,random,,,,,,
4,4,G,1,6,397,end_phase,,,,,,monte_carlo,24,0.9,3.9,0.9,0.75,0.15000000000000002
4,5,F,2,9,781,put,1,1,X,Y,,random,,,,,,
4,6,G,2,8,792,put,0,0,Z,Y,Y,monte_carlo,24,1.0,5.0,1.0,1.0,0.0
4,7,F,2,7,559,put,2,0,Y,Z,Y,random,,,,,,
4,8,G,2,6,520,put,0,1,Y,X,,monte_carlo,24,1.0,7.8,1.0,1.0,0.0
4,9,F,2,5,353,put,2,1,Y,X,,random,,,,,,
4,10,G,2,4,324,put,2,2,X,Y,,monte_carlo,24,1.0,8.4,1.0,1.0,0.0
4,11,F,2,3,183,put,1,2,Y,Z,Y,random,,,,,,
4,12,G,2,2,144,put,1,0,X,Y,,monte_carlo,24,1.0,9.7,1.0,1.0,0.0
4,13,F,2,1,61,put,0,2,Y,X,,random,,,,,,
4,14,G,3,9,546,put,1,1,Z,X,,monte_carlo,24,1.0,9.2,1.0,1.0,0.0
4,15,F,3,8,360,put,0,0,Y,Z,,random,,,,,,
4,16,G,3,7,372,put,2,0,Y,Z,,monte_carlo,24,1.0,8.8,1.0,1.0,0.0
4,17,F,3,6,208,put,0,1,Y,Z,,random,,,,,,
4,18,G,3,5,220,put,1,2,X,Z,,monte_carlo,24,1.0,9.8,1.0,1.0,0.0
4,19,F,3,4,108,put,2,1,Z,X,X,random,,,,,,
4,20,G,3,3,112,put,0,2,Z,Y,,monte_carlo,24,1.0,10.4,1.0,1.0,0.0
4,21,F,3,2,36,put,2,2,X,Z,X,random,,,,,,
4,22,G,3,1,24,put,1,0,X,Y,,monte_carlo,24,1.0,11.0,1.0,1.0,0.0
5,1,F,1,9,649,put,2,2,Y,Z,,random,,,,,,
5,2,G,1,8,577,put,0,2,X,Z,,monte_carlo,24,0.85,2.9,0.85,0.8,0.04999999999999993
5,3,F,1,7,463,put,0,0,Z,X,,random,,,,,,
5,4,G,1,6,397,put,2,1,Y,X,,monte_carlo,24,0.8,1.6,0.8,0.7,0.10000000000000009
5,5,F,1,5,301,put,1,1,Y,Z,,random,,,,,,
5,6,G,1,4,241,put,1,2,Z,Y,,monte_carlo,24,0.85,3.2,0.85,0.8,0.04999999999999993
5,7,F,1,3,163,put,0,1,Y,Z,,random,,,,,,
5,8,G,1,2,109,put,1,0,X,Y,,monte_carlo,24,0.75,2.9,0.75,0.65,0.09999999999999998
5,9,F,1,1,49,put,2,0,X,Y,,random,,,,,,
5,10,F,2,9,547,put,0,0,Z,Y,,random,,,,,,
5,11,G,2,8,544,put,2,0,X,Z,,monte_carlo,24,0.75,1.4,0.75,0.6,0.15000000000000002
5,12,F,2,7,349,put,1,1,Y,Z,,random,,,,,,
5,13,G,2,6,364,put,2,1,Z,X,X,monte_carlo,24,0.9,2.2,0.9,0.8,0.09999999999999998
5,14,F,2,5,221,put,0,2,Z,X,X,random,,,,,,
5,15,G,2,4,204,put,1,0,Z,Y,Y,monte_carlo,24,0.8,1.5,0.8,0.75,0.050000000000000044
5,16,F,2,3,105,end_phase,,,,,,random,,,,,,
5,17,G,3,9,390,put,0,1,Y,Z,,monte_carlo,24,1.0,3.6,1.0,1.0,0.0
5,18,F,3,8,280,put,2,2,X,Z,,random,,,,,,
5,19,G,3,7,240,put,0,2,Z,X,,monte_carlo,24,1.0,5.0,1.0,1.0,0.0
5,20,F,3,6,150,put,2,0,Y,Z,Y,random,,,,,,
5,21,G,3,5,120,put,0,0,Z,Y,,monte_carlo,24,1.0,5.0,1.0,1.0,0.0
5,22,F,3,4,60,put,2,1,Z,Y,,random,,,,,,
5,23,G,3,3,44,put,1,2,Y,X,,monte_carlo,24,1.0,5.1,1.0,1.0,0.0
5,24,F,3,2,14,put,1,1,Z,X,,random,,,,,,
5,25,G,3,1,8,put,1,0,X,Z,,monte_carlo,8,1.0,7.0,1.0,1.0,0.0
6,1,F,1,9,649,put,0,2,Z,Y,,random,,,,,,
6,2,G,1,8,577,put,0,1,Z,X,,monte_carlo,24,0.7,1.9,0.7,0.6,0.09999999999999998
6,3,F,1,7,463,put,2,0,Z,Y,,random,,,,,,
6,4,G,1,6,397,put,1,2,Z,X,,monte_carlo,24,0.85,3.0,0.85,0.7,0.15000000000000002
6,5,F,1,5,301,put,2,2,X,Y,,random,,,,,,
6,6,G,1,4,241,put,2,1,Z,Y,,monte_carlo,24,0.8,2.6,0.8,0.75,0.050000000000000044
6,7,F,1,3,163,put,1,0,Z,Y,,random,,,,,,
6,8,G,1,2,109,put,1,1,Z,Y,,monte_carlo,24,1.0,5.8,1.0,0.9,0.09999999999999998
6,9,F,1,1,49,put,0,0,Y,Z,,random,,,,,,
6,10,F,2,9,547,put,0,2,X,Y,,random,,,,,,
6,11,G,2,8,544,put,2,0,X,Z,X,monte_carlo,24,1.0,6.6,1.0,1.0,0.0
6,12,F,2,7,349,put,0,0,Z,Y,,random,,,,,,
6,13,G,2,6,336,put,1,2,X,Z,,monte_carlo,24,1.0,7.4,1.0,1.0,0.0
6,14,F,2,5,201,put,1,1,Y,Z,,random,,,,,,
6,15,G,2,4,204,put,0,1,X,Y,,monte_carlo,24,1.0,8.8,1.0,1.0,0.0
6,16,F,2,3,105,put,2,1,Z,Y,,random,,,,,,
6,17,G,2,2,90,put,2,2,Z,Y,Y,monte_carlo,24,1.0,10.3,1.0,1.0,0.0
6,18,F,2,1,25,put,1,0,X,Y,,random,,,,,,
6,19,G,3,9,312,put,2,0,Z,X,X,monte_carlo,24,1.0,9.2,1.0,1.0,0.0
6,20,F,3,8,136,put,2,2,X,Z,,random,,,,,,
6,21,G,3,7,174,put,0,1,Y,X,,monte_carlo,24,1.0,10.4,1.0,1.0,0.0
6,22,F,3,6,50,put,1,2,Y,X,,random,,,,,,
6,23,G,3,5,84,put,0,0,X,Z,,monte_carlo,24,1.0,11.1,1.0,1.0,0.0
6,24,G,3,4,32,put,0,2,Z,Y,Y,monte_carlo,24,1.0,12.0,1.0,1.0,0.0
7,1,F,1,9,649,put,1,0,X,Z,,random,,,,,,
7,2,G,1,8,577,put,0,2,Z,Y,,monte_carlo,24,0.5,0.4,0.5,0.5,0.0
7,3,F,1,7,463,put,2,1,Y,Z,,random,,,,,,
7,4,G,1,6,397,put,2,0,Y,X,,monte_carlo,24,0.8,1.2,0.8,0.65,0.15000000000000002
7,5,F,1,5,301,put,2,2,Z,Y,,random,,,,,,
7,6,G,1,4,241,put,0,0,Y,X,,monte_carlo,24,0.7,1.6,0.7,0.7,0.0
7,7,F,1,3,163,put,1,1,Y,Z,,random,,,,,,
7,8,G,1,2,109,put,0,1,Z,X,,monte_carlo,24,0.9,3.8,0.9,0.85,0.050000000000000044
7,9,F,1,1,49,put,1,2,Z,Y,,random,,,,,,
7,10,F,2,9,547,put,1,1,Y,Z,,random,,,,,,
7,11,G,2,8,576,put,2,0,Z,Y,Y,monte_carlo,24,0.85,1.6,0.85,0.8,0.04999999999999993
7,12,F,2,7,373,put,0,1,X,Z,,random,,,,,,
7,13,G,2,6,378,put,0,0,Z,X,X,monte_carlo,24,1.0,4.1,1.0,0.95,0.050000000000000044
7,14,F,2,5,221,put,2,2,Y,Z,Y,random,,,,,,
7,15,G,2,4,204,put,2,1,Y,X,,monte_carlo,24,1.0,4.3,1.0,1.0,0.0
7,16,F,2,3,105,put,1,0,X,Z,,random,,,,,,
